id,word,freq
0,bug,220
1,doc,59
2,mistak,12
3,search,1187
4,section,59
5,spell,113
6,charact,416
7,clean_text,1
8,control,319
9,detect,176
10,fix,295
11,incorrectli,289
12,postgresql,53
13,summari,57
14,creat,714
15,javascript,468
16,null,592
17,object,935
18,option,541
19,seri,15
20,column,312
21,export,73
22,exportign,2
23,format,149
24,invalid,526
25,list,758
0,bug,220
26,boolean,37
27,chart,43
28,correctli,381
29,equal,76
30,given,47
31,group,416
12,postgresql,53
27,chart,43
32,featur,117
12,postgresql,53
33,assign,141
34,everconfirm,3
35,leav,144
36,set,531
37,statu,216
38,unco,2
39,unconfirm,5
0,bug,220
3,search,1187
40,save,392
41,templat,167
42,term,32
12,postgresql,53
14,creat,714
28,correctli,381
43,account,364
44,auth,58
45,log,123
46,method,390
47,plugin,831
48,postgr,3
49,time,749
50,user,570
31,group,416
51,extrem,37
52,extremli,1
53,perform,209
54,product,145
55,secur,387
56,slow,315
12,postgresql,53
20,column,312
57,ad,299
58,bugzilla,500
59,gener,423
60,primari,32
61,serial,62
62,tabl,678
63,type,981
64,upgrad,162
58,bugzilla,500
65,form,289
66,fresh,14
67,home,154
68,instal,642
69,login,85
70,unabl,143
71,addit,81
72,date,164
73,multipl,356
74,mysql,35
75,whine,36
76,classif,18
77,current,203
78,document,871
79,undocu,3
59,gener,423
80,header,428
81,info,205
82,output,187
83,sidebar,242
84,tmpl,50
85,version,391
12,postgresql,53
20,column,312
58,bugzilla,500
61,serial,62
86,alter,12
87,final,115
88,note,130
89,releas,329
3,search,1187
12,postgresql,53
20,column,312
26,boolean,37
27,chart,43
59,gener,423
90,buglist,57
91,display,1017
92,possibl,291
93,relev,12
94,specif,133
14,creat,714
62,tabl,678
63,type,981
74,mysql,35
95,checksetup,61
96,incompat,21
97,myisam,1
98,schema,52
42,term,32
50,user,570
99,attach,462
100,confus,75
101,local,373
102,say,46
103,sens,14
104,standard,61
105,storag,93
106,allow,498
107,empow,2
108,inconsist,133
109,use,326
62,tabl,678
99,attach,462
110,duplic,218
111,mark,247
112,post,85
113,take,87
58,bugzilla,500
114,flag,210
115,modifi,140
116,quot,61
117,sqlquot,1
118,timestamp,41
119,twice,129
65,form,289
120,editparam,8
121,reset,111
3,search,1187
49,time,749
122,advanc,100
123,contrarieti,1
124,exampl,29
125,help,167
126,incorrect,450
127,queri,183
128,unit,177
55,secur,387
58,bugzilla,500
65,form,289
67,home,154
69,login,85
129,password,166
130,redirect,114
131,site,406
58,bugzilla,500
81,info,205
89,releas,329
74,mysql,35
132,bzdbcopi,5
133,contrib,9
134,fielddef,3
135,insert,152
136,long,233
137,potgresql,1
138,small,142
139,tri,224
140,valu,858
141,varchar,1
74,mysql,35
78,document,871
94,specif,133
44,auth,58
142,depend,237
143,insecur,15
144,taint,11
145,throw,271
146,usernam,35
54,product,145
99,attach,462
147,compon,274
148,data,557
149,delet,631
1,doc,59
58,bugzilla,500
150,answer,23
151,http,448
25,list,758
50,user,570
58,bugzilla,500
75,whine,36
148,data,557
152,bugmail,25
153,disabl,765
154,email,202
155,have,42
156,nomail,4
157,send,201
158,whineatnew,3
57,ad,299
62,tabl,678
99,attach,462
116,quot,61
135,insert,152
148,data,557
159,bugs_act,4
0,bug,220
9,detect,176
160,bareword,3
161,bugword,2
162,imperfect,1
54,product,145
57,ad,299
85,version,391
95,checksetup,61
110,duplic,218
163,break,454
164,indic,114
165,problem,288
58,bugzilla,500
68,instal,642
85,version,391
91,display,1017
166,place,566
167,public,43
168,collectstat,16
169,regener,13
43,account,364
50,user,570
149,delet,631
170,encount,12
171,process_bug,26
151,http,448
172,access,800
173,direct,140
174,notif,228
175,proxi,170
41,templat,167
176,complaint,2
177,rel,79
178,runtest,10
179,system,22
58,bugzilla,500
65,form,289
69,login,85
99,attach,462
119,twice,129
139,tri,224
180,appear,438
181,call,678
182,consecut,18
90,buglist,57
183,alias,37
184,field,495
185,order,184
186,pars,235
187,properli,346
188,valid,191
110,duplic,218
186,pars,235
189,drop,493
190,ldap,34
58,bugzilla,500
64,upgrad,162
85,version,391
191,perl,42
53,perform,209
165,problem,288
192,importxml,22
193,workaround,34
3,search,1187
194,brower,3
195,browser,1092
196,mod_perl,42
197,push,74
198,result,498
199,server,185
200,technolog,6
201,warn,954
50,user,570
202,watch,67
203,descript,102
204,differ,302
205,editkeyword,5
206,htmlifi,1
207,regard,4
208,treat,61
0,bug,220
172,access,800
209,behavior,117
210,default,684
211,hide,147
212,hide_resolv,1
213,resolv,52
214,show_bug,54
71,addit,81
90,buglist,57
120,editparam,8
140,valu,858
188,valid,191
215,integ,186
216,paramet,213
217,timezon,25
218,uniniti,129
44,auth,58
58,bugzilla,500
216,paramet,213
219,attribut,560
220,compani,9
221,hash,66
222,inconso,1
223,johndo,1
224,line,755
225,mschumann,1
226,verifi,48
0,bug,220
94,specif,133
191,perl,42
227,close,934
228,return,673
229,row,38
0,bug,220
50,user,570
57,ad,299
230,capac,9
231,pref,284
58,bugzilla,500
63,type,981
114,flag,210
145,throw,271
232,edit,307
233,fatal,58
234,inact,65
235,intern,72
236,suffer,4
58,bugzilla,500
148,data,557
237,miss,655
238,unread,64
239,codeerror,1
240,print,621
12,postgresql,53
20,column,312
48,postgr,3
61,serial,62
63,type,981
241,broken,1014
0,bug,220
73,multipl,356
183,alias,37
127,queri,183
242,share,110
58,bugzilla,500
184,field,495
243,autom,32
244,creation,93
245,custom,254
246,includ,347
4,section,59
247,action,149
248,check,780
249,footer,43
250,prefer,344
251,saniti,12
252,shouldn,341
0,bug,220
31,group,416
57,ad,299
244,creation,93
253,appli,165
254,mandatori,10
255,restrict,51
126,incorrect,450
203,descript,102
256,editfield,3
257,omit,25
31,group,416
99,attach,462
114,flag,210
244,creation,93
258,grant,5
259,insidergroup,8
260,privat,318
261,requeste,17
262,thrown,34
55,secur,387
80,header,428
84,tmpl,50
263,filter,309
264,global,288
55,secur,387
99,attach,462
203,descript,102
259,insidergroup,8
260,privat,318
265,let,16
266,view,613
55,secur,387
216,paramet,213
267,doall,2
55,secur,387
268,deadlin,8
269,leak,750
270,timetrack,10
63,type,981
85,version,391
173,direct,140
271,mime,54
272,requir,231
273,unnecessari,108
17,object,935
50,user,570
126,incorrect,450
274,enter_bug,21
275,list_ord,1
50,user,570
115,modifi,140
154,email,202
191,perl,42
237,miss,655
271,mime,54
276,instead,553
277,landfil,11
278,modul,183
279,recom,1
280,recommend,14
281,repli,101
282,repo,15
283,theori,4
184,field,495
245,custom,254
274,enter_bug,21
284,align,165
285,label,256
286,left,283
287,post_bug,10
62,tabl,678
64,upgrad,162
237,miss,655
288,caus,1029
289,index,202
290,profil,295
291,think,16
50,user,570
53,perform,209
69,login,85
248,check,780
292,oper,216
293,webservic,57
294,xmlrpc,12
210,default,684
295,loginnetmask,3
296,param,58
50,user,570
54,product,145
100,confus,75
184,field,495
297,avail,133
298,messag,1189
299,offer,35
300,vote,35
301,wrong,775
12,postgresql,53
14,creat,714
49,time,749
62,tabl,678
201,warn,954
302,logincooki,4
6,charact,416
16,null,592
74,mysql,35
303,attach_data,1
304,binari,50
305,convers,156
0,bug,220
9,detect,176
142,depend,237
306,collis,8
307,correct,194
308,delta_t,6
309,midair,2
310,prevent,134
311,sever,32
0,bug,220
85,version,391
149,delet,631
203,descript,102
216,paramet,213
95,checksetup,61
154,email,202
312,email_in,47
313,good,27
314,permiss,154
315,run,302
18,option,541
109,use,326
263,filter,309
316,nntp,10
9,detect,176
70,unabl,143
95,checksetup,61
148,data,557
317,agre,5
318,complet,185
319,determin,69
320,encod,182
321,guess,19
322,hard,85
323,loos,21
